,Word,C,I,P,CI,CP,IP,CIP
436,ちらもそ,0.999999999999813,0.0,0.00877917926107092,0.999999999999813,1.008779179260884,0.00877917926107092,1.008779179260884
437,そろしく,0.9999092042625952,0.0,0.03501899315703883,0.9999092042625952,1.034928197419634,0.03501899315703883,1.034928197419634
438,もくさく,0.9999092042625952,0.0,0.04813699389715115,0.9999092042625952,1.0480461981597464,0.04813699389715115,1.0480461981597464
439,かりから,0.9999092042625952,0.0,0.041549033640237314,0.9999092042625952,1.0414582379028325,0.041549033640237314,1.0414582379028325
440,こりぽく,0.9999092042625952,0.0,0.04996972301438422,0.9999092042625952,1.0498789272769795,0.04996972301438422,1.0498789272769795
441,まごころ,0.9999092042625952,0.0,0.02765516774131826,0.9999092042625952,1.0275643720039134,0.02765516774131826,1.0275643720039134
442,ころくら,0.9999092042625952,0.0,0.08603036105665565,0.9999092042625952,1.085939565319251,0.08603036105665565,1.085939565319251
443,どたくさ,0.9999092042625952,0.0,0.009943355270822608,0.9999092042625952,1.0098525595334178,0.009943355270822608,1.0098525595334178
444,ころもお,0.9999092042625952,0.0,0.12377993379947899,0.9999092042625952,1.1236891380620742,0.12377993379947899,1.1236891380620742
445,ぱっくり,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
446,たっきり,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
447,うろしな,0.9999092042625952,0.0,0.714500882669044,0.9999092042625952,1.7144100869316392,0.714500882669044,1.7144100869316392
448,のしつけ,1.0,0.0,0.0,1.0,1.0,0.0,1.0
449,つかまる,0.9999092042625952,0.0,0.04112030529933642,0.9999092042625952,1.0410295095619317,0.04112030529933642,1.0410295095619317
450,くたまる,0.9999092042625952,0.0,0.02050244818074584,0.9999092042625952,1.020411652443341,0.02050244818074584,1.020411652443341
451,つること,0.9999092042625952,0.0,0.11690560767346685,0.9999092042625952,1.1168148119360621,0.11690560767346685,1.1168148119360621
452,たらよろ,0.9999092042625952,0.0,0.05125843163424291,0.9999092042625952,1.051167635896838,0.05125843163424291,1.051167635896838
453,がつまる,0.9999999958776926,0.0,0.03186707150373037,0.9999999958776926,1.031867067381423,0.03186707150373037,1.031867067381423
454,のたくさ,0.9999999958776926,0.0,0.017052893571849085,0.9999999958776926,1.0170528894495416,0.017052893571849085,1.0170528894495416
455,はたびた,0.999999999999813,0.0,0.05962203316582873,0.999999999999813,1.0596220331656419,0.05962203316582873,1.0596220331656419
456,がつくだ,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
457,どーかん,0.9999092042625952,0.0,0.020748097569508853,0.9999092042625952,1.0206573018321041,0.020748097569508853,1.0206573018321041
458,からにこ,0.9999999958776926,0.0,0.04447026730826873,0.9999999958776926,1.0444702631859613,0.04447026730826873,1.0444702631859613
459,たらでか,0.9999092042625952,0.0,0.015101868853029742,0.9999092042625952,1.015011073115625,0.015101868853029742,1.015011073115625
460,とこわい,1.0,0.0,0.0,1.0,1.0,0.0,1.0
461,うとすべ,0.9999092042625952,0.0,0.10143401348274982,0.9999092042625952,1.101343217745345,0.10143401348274982,1.101343217745345
462,たらどん,0.9999092042625952,0.0,0.039120431896665024,0.9999092042625952,1.0390296361592601,0.039120431896665024,1.0390296361592601
463,ずらしく,0.9999999958776926,0.0,0.0,0.9999999958776926,0.9999999958776926,0.0,0.9999999958776926
464,こんばん,0.9999092042625952,0.0,0.011090170218995955,0.9999092042625952,1.0109993744815913,0.011090170218995955,1.0109993744815913
465,ごくがん,0.9999092042625952,0.0,0.021400147494622768,0.9999092042625952,1.021309351757218,0.021400147494622768,1.021309351757218
466,どしてく,-0.9999925467214317,0.0,0.0,-0.9999925467214317,-0.9999925467214317,0.0,-0.9999925467214317
467,きりこち,0.9999092042625952,0.0,0.008249789224049535,0.9999092042625952,1.0081589934866448,0.008249789224049535,1.0081589934866448
468,ぶかかり,0.9999092042625952,0.0,0.043689943106255666,0.9999092042625952,1.0435991473688508,0.043689943106255666,1.0435991473688508
469,のおかっ,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
470,がくさく,0.9999999958776926,0.0,0.09072755641750788,0.9999999958776926,1.0907275522952005,0.09072755641750788,1.0907275522952005
471,たらすご,0.999999999999813,0.0,0.16437748345226652,0.999999999999813,1.1643774834520795,0.16437748345226652,1.1643774834520795
472,しくする,0.9999092042625952,0.0,0.04366655737534214,0.9999092042625952,1.0435757616379373,0.04366655737534214,1.0435757616379373
473,くだけた,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
474,こりはた,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
475,すたぶん,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
476,のそこそ,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
477,こともしゃ,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
478,ころのお,1.0,0.0,0.11253573399454433,1.0,1.1125357339945443,0.11253573399454433,1.1125357339945443
479,ふつうか,0.9999092042625952,0.0,0.049699934885345756,0.9999092042625952,1.049609139147941,0.049699934885345756,1.049609139147941
480,ころはた,0.9999092042625952,0.0,0.02571966250704438,0.9999092042625952,1.0256288667696396,0.02571966250704438,1.0256288667696396
481,がりぼろ,0.9999092042625952,0.0,0.32925206051118533,0.9999092042625952,1.3291612647737805,0.32925206051118533,1.3291612647737805
482,ぼろかっ,1.0,0.0,0.02176827940203977,1.0,1.0217682794020397,0.02176827940203977,1.0217682794020397
483,けらしく,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
484,くさみし,0.9999092042625952,0.0,0.0,0.9999092042625952,0.9999092042625952,0.0,0.9999092042625952
485,かりたら,0.9999092042625952,0.0,0.028251883993701668,0.9999092042625952,1.0281610882562968,0.028251883993701668,1.0281610882562968
486,とこばか,0.9999092042625952,0.0,0.02308503065656344,0.9999092042625952,1.0229942349191588,0.02308503065656344,1.0229942349191588
487,けたくら,0.9999092042625952,0.0,0.08583255268096648,0.9999092042625952,1.0857417569435617,0.08583255268096648,1.0857417569435617
