,Word,C,I,P,CI,CP,IP,CIP,S,M,CIPS,MCIPS,MPIC
11504,ぶるうじゃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11505,ぶるうつら,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
11506,ぶるえへら,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11507,ぶるかしゃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11508,ぶるかたん,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11509,ぶるかちゃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11510,ぶるかちん,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11511,ぶるがちゃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11512,ぶるがっぽ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11513,ぶるがらん,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11514,ぶるきゃっ,0.8482836399575131,0.0,0.0,0.8482836399575131,0.8482836399575131,0.0,0.8482836399575131,0.3333333333333333,0.0,1.1816169732908464,1.1816169732908464,0.8482836399575131
11515,ぶるきゃー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11516,ぶるきゅっ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11517,ぶるきゅー,0.9311096086675779,0.0,0.0,0.9311096086675779,0.9311096086675779,0.0,0.9311096086675779,0.3333333333333333,0.0,1.2644429420009111,1.2644429420009111,0.9311096086675779
11518,ぶるきょと,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11519,ぶるきょろ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11520,ぶるぎゃー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11521,ぶるぎゅー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11522,ぶるぎょろ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11523,ぶるくしゃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11524,ぶるくちゃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11525,ぶるくにゃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11526,ぶるぐしゃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11527,ぶるぐしょ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
11528,ぶるぐちゃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11529,ぶるぐでん,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11530,ぶるぐびり,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11531,ぶるこくり,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
11532,ぶるこちん,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
