,Word,C,I,P,CI,CP,IP,CIP
19,あーでん,0.9988944427261528,0.0,0.015010952940516568,0.9988944427261528,1.0139053956666693,0.015010952940516568,1.0139053956666693
20,あーどす,0.9974579674738373,0.0,0.028925172173515618,0.9974579674738373,1.0263831396473528,0.028925172173515618,1.0263831396473528
21,あーはっ,0.959884926924299,0.0,0.06117331379125571,0.959884926924299,1.0210582407155548,0.06117331379125571,1.0210582407155548
22,あーはー,0.9993292997390673,0.0,0.02569416440346859,0.9993292997390673,1.0250234641425358,0.02569416440346859,1.0250234641425358
23,あーばん,0.9996555948057622,0.0,0.021176093431205217,0.9996555948057622,1.0208316882369675,0.021176093431205217,1.0208316882369675
24,あーぱー,0.9866142981514305,0.0,0.03228013683128582,0.9866142981514305,1.0188944349827163,0.03228013683128582,1.0188944349827163
25,あーびし,0.9974579674738373,0.0,0.017958861149837007,0.9974579674738373,1.0154168286236742,0.017958861149837007,1.0154168286236742
26,あーぶら,0.9934246772281319,0.0,0.02336453261472096,0.9934246772281319,1.0167892098428528,0.02336453261472096,1.0167892098428528
27,あーべら,0.9866142981514305,0.0,0.021057512041157044,0.9866142981514305,1.0076718101925877,0.021057512041157044,1.0076718101925877
28,あーぼー,0.9998417566292324,0.0,0.02196861770054847,0.9998417566292324,1.0218103743297808,0.02196861770054847,1.0218103743297808
29,あーぽん,0.9950547536867307,0.0,0.021608434699589445,0.9950547536867307,1.0166631883863202,0.021608434699589445,1.0166631883863202
30,あーぽー,0.8482836399575131,0.0,0.0,0.8482836399575131,0.8482836399575131,0.0,0.8482836399575131
31,あーむず,0.9998145378686683,0.0,0.030815683523030324,0.9998145378686683,1.0306302213916987,0.030815683523030324,1.0306302213916987
32,あーもり,0.9866142981514305,0.0,0.024074530517473092,0.9866142981514305,1.0106888286689035,0.024074530517473092,1.0106888286689035
33,あーりん,0.9950547536867307,0.0,0.03154403403888541,0.9950547536867307,1.0265987877256162,0.03154403403888541,1.0265987877256162
34,あーりーん,0.9311096086675779,0.0,0.0,0.9311096086675779,0.9311096086675779,0.0,0.9311096086675779
35,いじえん,0.9866142981514305,0.0,0.0,0.9866142981514305,0.9866142981514305,0.0,0.9866142981514305
36,いじどー,0.9866142981514305,0.0,0.009454091121672907,0.9866142981514305,0.9960683892731035,0.009454091121672907,0.9960683892731035
37,いそうだ,0.009559938194245499,0.0,0.0008864263454030202,0.009559938194245499,0.010446364539648518,0.0008864263454030202,0.010446364539648518
38,いそぷら,0.20537067595698333,0.0,0.007352919424130252,0.20537067595698333,0.21272359538111357,0.007352919424130252,0.21272359538111357
39,いらいじ,0.9866142981514305,0.0,0.03123417045634,0.9866142981514305,1.0178484686077705,0.03123417045634,1.0178484686077705
40,いらから,0.09585860585126227,0.0,0.00022098667249596107,0.09585860585126227,0.09607959252375822,0.00022098667249596107,0.09607959252375822
41,いらくら,0.6133572603953825,0.0,0.000447196283910005,0.6133572603953825,0.6138044566792925,0.000447196283910005,0.6138044566792925
42,いらしく,0.006561585619203392,0.0,0.003198772370545232,0.006561585619203392,0.009760357989748624,0.003198772370545232,0.009760357989748624
43,うかいら,0.7615941559557646,0.0,0.013527259639859698,0.7615941559557646,0.7751214155956243,0.013527259639859698,0.7751214155956243
44,うかよろ,0.045014603444338164,0.0,0.00941644249920046,0.045014603444338164,0.05443104594353862,0.00941644249920046,0.05443104594353862
45,うきわく,0.9728461661125112,0.12435300177159614,0.37561301796105573,1.0971991678841073,1.348459184073567,0.49996601973265187,1.472812185845163
46,うじゃうじ,0.870061661742672,0.0,0.663208024704509,0.870061661742672,1.533269686447181,0.663208024704509,1.533269686447181
47,うだから,0.005279781984679488,0.0,0.003659897164887508,0.005279781984679488,0.008939679149566997,0.003659897164887508,0.008939679149566997
48,うだしな,0.037435680969668095,0.0,0.0012339293532209344,0.037435680969668095,0.03866961032288903,0.0012339293532209344,0.03866961032288903
